Entry ID;Source ID;MC species;MC variety;MC latin;CC species;CC variety;CC latin;Location;Year;Intercropping design;Width;Distance to the CC;Relative density;Density design;RSD;RHD;SH period;System;Fertilizer type;Fertilizer detail;N dose;N unit;Pest management type;AES;Sub-category;Metric;Unit;Treatment value;Treatment MV;Control value;Control MV;MV metric;n_Treatment;n_Control;Relationship;Comment;Entered by;Reviewed by;summary of the data;source document;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2020;Strip;3;0,450;50;Replacement;-42;;;Organic;Organic;poultry manure + cattle manure;222;kgN/ha;No insecticide;Product quality;Nutrient quality;N;;2,361561669;0,085485511;2,195507386;0,116832232;SD;3;4;Positive;;TLN;;N (%);Cabbage_NPK_Lely_2020.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2020;Strip;3;0,450;50;Replacement;-42;;;Organic;Organic;poultry manure + cattle manure;222;kgN/ha;No insecticide;Product quality;Nutrient quality;P;;0,441782439;0,011007354;0,434349103;0,021482544;SD;3;4;Positive;;TLN;;P (%);Cabbage_NPK_Lely_2020.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2020;Strip;3;0,450;50;Replacement;-42;;;Organic;Organic;poultry manure + cattle manure;222;kgN/ha;No insecticide;Product quality;Nutrient quality;K;;2,844801667;0,046147139;2,801445768;0,096946765;SD;3;4;Positive;;TLN;;K (%);Cabbage_NPK_Lely_2020.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2020;Strip;3;0,450;50;Replacement;-42;-56;145;Organic;Organic;poultry manure + cattle manure;222;kgN/ha;No insecticide;Productivity;Saleable biomass;per plant;g;1242,416667;87,36778702;1097,8125;54,89359973;SD;3;4;Positive;;TLN;;marketable weight per plant (kg);Broekemahoeve plant data 2020.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2020;Strip;3;0,450;50;Replacement;-42;-56;145;Organic;Organic;poultry manure + cattle manure;222;kgN/ha;No insecticide;Product quality;Marketability and commercial quality;Pest damage;all pests (%);5,074838476;5,360675293;6,719860659;4,458253608;SD;3;4;Negative;;TLN;;damage to the head (%);Broekemahoeve plant data 2020.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2020;Strip;3;0,450;50;Replacement;-42;-56;145;Organic;Organic;poultry manure + cattle manure;222;kgN/ha;No insecticide;Product quality;Marketability and commercial quality;Grading;quality classes or grades (% of marketability);100;0;100;0;SD;3;4;Positive;;TLN;;proportion of cabbage marketable (%);Broekemahoeve plant data 2020.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Oat;;Avena sativa L.;Wageningen, Netherlands;2021;Strip;3;0,375;50;Replacement;-36;-70;167;Organic;Organic;cattle manure;;;No insecticide;Productivity;Harvested biomass;per unit of area;kg/ha;27868,44136;13142,49027;32115,16204;7085,322679;SD;4;4;Positive;;TLN;;yield per ha (KG);Cabbage_harvest_DEF_2021;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Oat;;Avena sativa L.;Wageningen, Netherlands;2021;Strip;3;0,375;50;Replacement;-36;-70;167;Organic;Organic;cattle manure;;;No insecticide;Productivity;Harvested biomass;per plant;kg;1,354529134;0,280809606;1,239194654;0,32026166;SD;4;4;Positive;;TLN;;yield per plant (KG);Cabbage_harvest_DEF_2021;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Oat;;Avena sativa L.;Wageningen, Netherlands;2021;Strip;6;0,375;50;Replacement;-36;-70;167;Organic;Organic;cattle manure;;;No insecticide;Productivity;Harvested biomass;per unit of area;kg/ha;29016,2037;6661,862499;39236,11111;4904,589512;SD;2;3;Positive;;TLN;;yield per ha (KG) - strip6;Cabbage_harvest_DEF_2021;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Oat;;Avena sativa L.;Wageningen, Netherlands;2021;Strip;6;0,375;50;Replacement;-36;-70;167;Organic;Organic;cattle manure;;;No insecticide;Productivity;Harvested biomass;per plant;kg;1,545473357;0,081422124;1,466105675;0,139629088;SD;2;3;Positive;;TLN;;yield per plant (KG) - strip6;Cabbage_harvest_DEF_2021;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Oat;;Avena sativa L.;Wageningen, Netherlands;2021;Strip;3;0,375;50;Replacement;-36;-36;133;Organic;Organic;cattle manure;;;No insecticide;Productivity;Saleable biomass;per plant;g;1287,75;95,63597432;1142,583333;224,0063987;SD;4;6;Positive;;TLN;;marketable weight per plant (kg);Droevendaal plant data harvest 2021.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Oat;;Avena sativa L.;Wageningen, Netherlands;2021;Strip;3;0,375;50;Replacement;-36;-36;133;Organic;Organic;cattle manure;;;No insecticide;Product quality;Marketability and commercial quality;Pest damage;all pests (%);14,74548816;7,062984919;14,24909458;8,427750602;SD;4;6;Negative;;TLN;;damage to the head (%);Droevendaal plant data harvest 2021.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2021;Strip;3;0,450;50;Replacement;;;;Organic;Organic;;;;No insecticide;Productivity;Harvested biomass;per unit of area;kg/m2;7,588744589;2,336615482;8,555158731;1,818835777;SD;2;2;Positive;;TLN;;yield per m2 (KG);;;;
