Observed_Outcome,Cooks_Distance
850,2.6616189085312278e-6
851,8.623828806686186e-5
852,4.0836242230332076e-6
853,1.7420192486363252e-7
854,2.8336166822808814e-4
855,4.3121715228441975e-7
856,1.969608326173681e-6
857,9.49077074496598e-7
858,2.5937017199436793e-5
859,1.8454120940442231e-6
860,1.3830320364293104e-5
861,1.646934508025947e-4
862,2.9946777445183927e-6
863,1.5505683453070215e-5
864,6.11759019683424e-4
865,1.9849210045716683e-5
866,1.0892457216023898e-5
867,0.06810919553893108
868,3.3773846693311996e-4
869,7.903725383097997e-8
870,9.75611161407518e-9
871,1.7840097960341337e-9
872,2.673115400925939e-7
873,3.173594293794757e-9
874,1.6200313168797265e-8
875,5.137813715958817e-9
876,3.852422385681185e-8
877,5.837212144599128e-9
878,2.0666038223611187e-7
879,4.202709297021221e-9
880,5.7256500161277827e-8
881,4.964551935777653e-7
882,4.548395349985129e-8
883,2.626432270863739e-10
884,1.4480582068791642e-7
885,4.631221815074056e-8
886,1.2839030037218037e-8
887,7.136079600548731e-9
888,3.017315017300179e-9
889,5.304931108944435e-6
890,6.833025006872702e-8
891,1.0032403366514443e-8
892,0.002566066856998524
893,1.258166167163786e-6
894,2.0362301979965293e-7
895,1.3344291086770334e-4
896,1.3096811169085606e-5
897,2.2889286382293123e-4
898,1.1390375568551811e-5
899,1.187438208656886e-5
900,0.0020578333362156046
901,4.811990131740756e-9
902,1.1805857922304793e-10
903,2.0262353877614254e-5
904,6.220038339978015e-7
905,4.648590028399289e-8
906,8.659913692906378e-7
907,4.0658577167572345e-7
908,6.143042694873398e-8
909,6.396072829720682e-7
910,6.096194072048596e-10
911,7.408179268571339e-9
912,2.139164661720727e-7
913,0.0010169313988261691
914,3.3676888489691782e-6
915,8.192969070549929e-7
916,2.919415123843472e-8
917,5.836553170837186e-6
918,9.962541885085918e-6
919,2.22815598049888e-6
920,1.1664507581736035e-8
921,1.6010070128479749e-6
922,8.98635568762143e-7
923,4.0419401082172805e-11
924,1.6096364000281072e-7
925,1.4169918246338296e-6
926,4.3143354375175893e-7
927,3.7300297228761856e-7
928,3.136210969322583e-5
929,4.945956916703473e-7
930,7.783126322172715e-6
931,1.858909510162358e-5
932,5.315121892282156e-7
933,4.9376166502881106e-5
934,2.5106941265588296e-5
935,3.350382344141557e-5
936,8.610384722149385e-5
937,1.7199875275507782e-5
938,6.587379785595254e-9
939,8.75773821727143e-6
940,9.928208840901764e-9
941,9.026809243365317e-8
942,3.0836145120983036e-9
943,8.868866130110539e-8
944,8.868866130110539e-8
945,1.060233654947512e-6
946,3.809593150473527e-6
947,8.824290566061338e-6
948,4.96281234432309e-11
949,5.141641767628079e-8
950,2.1016399581360252e-8
951,3.509719832412897e-8
952,2.417032527485602e-9
953,2.6826047281452928e-8
954,1.0714994677216774e-9
955,1.8864645739559703e-8
956,3.269254160219706e-8
957,1.0236056764150101e-8
958,2.107889337561364e-7
959,2.176138483062141e-9
960,6.64845055920217e-8
961,7.020398776025335e-8
962,1.3194945248728322e-5
963,9.914929775644956e-9
964,1.8145266470083805e-5
965,6.561191889903561e-6
966,6.231868105857993e-5
967,2.071226861784071e-4
968,5.50466434200525e-4
969,2.578229783961985e-5
970,6.947870418256132e-7
971,9.250542826837543e-5
972,5.36707692164202e-7
973,3.0182525910739054e-6
974,1.504614004660144e-4
975,9.5456673636965e-5
976,4.088022462614672e-5
977,9.049198706128541e-6
978,3.705478022928105e-9
979,7.164015647540821e-8
980,3.0161623167344793e-6
981,7.468314825916771e-5
982,4.3216213760588257e-4
983,3.7083510994758408e-6
984,1.1142967425039865e-5
985,1.7865716293526913e-6
986,1.608092753736676e-4
987,3.775427207485577e-7
988,1.0695181111768387e-8
989,3.0181773708620435e-9
990,3.4007879313154178e-6
991,3.688131092777832e-5
992,4.3603984753938694e-5
993,5.935399214004988e-6
994,6.369089034110596e-6
995,9.538589867214414e-6
996,5.270695609533266e-6
997,0.02125297536659074
998,1.193770910855086e-5
999,9.192651788584786e-6
1000,4.683671130160359e-6
1001,1.1419321777960479e-6
1002,1.1481822385182648e-6
1003,7.239685076229943e-8
1004,8.419028403678035e-6
1005,1.1300098815539718e-6
1006,4.901745760763047e-6
1007,7.521248805831875e-5
1008,2.785848765068816e-7
