Observed_Outcome,Residuals,Standard_Errors,Z_Values
248,-0.0016236976868884223,0.06831780081052703,-0.023766831888977144
249,-0.006251395042976107,0.06813618617344201,-0.09174853178695762
250,-0.12045278095691188,0.08072420741821097,-1.4921519183567524
251,-0.018902224924635336,0.11045904519580355,-0.17112428313252748
252,-0.019841380795281298,0.0854338057854846,-0.23224273591534647
253,-0.06200517378383061,0.08348755433883899,-0.7426876290108952
254,-0.034661296946307,0.0790639043505092,-0.43839596881840265
255,-0.0024624879534402523,0.11483623900562781,-0.02144347441855504
256,-0.029997436740323034,0.07918855867493459,-0.3788102377700943
257,-0.02175927946430071,0.07981134833981483,-0.2726339037859085
258,0.03870316862864267,0.06468195349313223,0.5983611585378613
259,0.006078115237852378,0.06474057171855875,0.0938841761279968
260,-0.003401407439008833,0.06479341903100085,-0.05249618695660136
261,0.014154063483781686,0.06438498896645858,0.21983483589871014
262,0.0077489377139626555,0.06438642341001906,0.12035049166524843
263,0.00453116274023002,0.06448953726593964,0.07026198252197985
264,0.019091882355684126,0.0645956046945682,0.29556008409484785
265,0.006549534577367093,0.06447821359907241,0.10157748193974957
266,0.00553930774274782,0.06447852563706935,0.08590934249841495
267,0.008268826560545011,0.06432631066229848,0.1285450148688747
268,0.005029391177963962,0.0643009691614454,0.078216413275767
269,0.001982487761185309,0.06427931123729673,0.030841770439428914
270,0.14854113260434973,0.08732181528333766,1.7010770117681424
271,-0.027445132433715037,0.08451104803959744,-0.32475200663534176
272,-0.05373318139298515,0.08497857680609472,-0.6323144422104675
273,-0.033678073981195406,0.0897095687988016,-0.37541228245927427
274,-0.017855345336900866,0.0871797654933861,-0.20481066031607373
275,-0.022347501821688598,0.08836173616098324,-0.25290926584980683
276,0.03626463275139686,0.06861121526503097,0.5285525494820936
277,0.009880484352388526,0.06770108920909863,0.14594276794974587
278,-0.01133936665739355,0.06727294345628942,-0.16855761134877797
279,0.0045865874723343,0.06650790903985893,0.06896303820926782
280,0.007530362202715167,0.066330387742725,0.11352808959783421
281,-8.094528528769093e-4,0.06652092685320411,-0.012168394085415849
282,0.12277819503453621,0.0665281348119427,1.8455078498983541
283,0.04462508865565584,0.06591277787515441,0.6770324373246771
284,-0.002446318127926626,0.0658567206681199,-0.03714606653821508
285,0.06967241944649133,0.06568586453258536,1.0606912148035796
